Timestamp,Source IP,Destination IP,Protocol,Packet Size (bytes),Flow Duration (s),Threat,Threat Type
2024-04-21 03:00:00,15.184.197.45,180.150.9.47,TCP,1291.44,3.13,No,
2024-04-21 04:00:00,199.158.183.119,125.190.49.235,TCP,957.58,8.41,Yes,DDoS
2024-04-21 05:00:00,69.250.237.55,24.243.225.111,UDP,1376.03,0.55,No,
2024-04-21 06:00:00,187.187.252.30,146.30.10.243,TCP,1426.24,2.7,No,
2024-04-21 07:00:00,55.122.135.253,46.210.203.248,ICMP,1309.94,6.33,Yes,DDoS
2024-04-21 08:00:00,237.27.220.230,117.182.110.58,UDP,1194.87,3.86,No,
2024-04-21 09:00:00,19.87.154.7,142.130.63.37,UDP,119.97,8.86,No,
2024-04-21 10:00:00,11.60.91.199,49.231.159.183,TCP,496.9,6.76,No,
2024-04-21 11:00:00,71.243.79.114,181.85.123.175,ICMP,94.64,0.16,No,
2024-04-21 12:00:00,51.169.32.3,176.70.88.161,ICMP,133.38,6.13,No,
2024-04-21 13:00:00,205.170.235.93,6.247.52.252,TCP,885.77,9.46,No,
2024-04-21 14:00:00,109.45.115.82,62.64.224.190,ICMP,866.62,8.84,No,
2024-04-21 15:00:00,194.120.180.56,126.61.203.239,TCP,613.91,2.05,No,
2024-04-21 16:00:00,231.50.240.154,233.88.83.9,ICMP,965.18,3.73,No,
2024-04-21 17:00:00,60.142.198.49,79.119.55.107,ICMP,1478.22,7.84,No,
2024-04-21 18:00:00,94.43.100.203,222.161.231.158,UDP,799.67,1.2,No,
2024-04-21 19:00:00,111.7.108.92,186.224.18.5,ICMP,94.14,1.71,Yes,Phishing
2024-04-21 20:00:00,232.164.159.40,134.60.211.144,TCP,295.83,6.55,No,
2024-04-21 21:00:00,138.96.32.228,198.152.94.186,ICMP,722.34,0.29,No,
2024-04-21 22:00:00,131.190.244.177,246.21.79.73,UDP,1107.42,0.75,No,
2024-04-21 23:00:00,242.49.69.123,37.0.209.235,ICMP,616.28,4.0,No,
2024-04-22 00:00:00,138.81.171.159,58.142.42.130,ICMP,625.28,8.82,No,
2024-04-22 01:00:00,101.12.76.86,186.230.189.233,TCP,1482.32,7.18,No,
2024-04-22 02:00:00,34.186.149.66,234.191.82.207,UDP,1044.87,4.13,No,
2024-04-22 03:00:00,191.89.236.3,61.241.179.134,UDP,1176.47,6.44,No,
2024-04-22 04:00:00,225.236.198.54,250.176.101.78,UDP,829.25,6.11,No,
2024-04-22 05:00:00,169.112.150.6,222.155.5.3,TCP,841.63,2.51,No,
2024-04-22 06:00:00,112.83.29.135,163.193.107.231,UDP,1135.55,5.94,No,
2024-04-22 07:00:00,255.52.30.53,145.246.36.163,UDP,507.12,3.6,No,
2024-04-22 08:00:00,197.86.214.132,81.160.168.13,TCP,580.03,0.98,No,
2024-04-22 09:00:00,247.38.152.196,226.142.83.158,ICMP,568.39,6.6,No,
2024-04-22 10:00:00,232.61.79.85,180.77.237.45,TCP,610.75,6.29,Yes,Malware
2024-04-22 11:00:00,48.81.149.60,43.154.93.88,ICMP,754.37,8.87,No,
2024-04-22 12:00:00,148.75.25.125,249.200.20.69,UDP,1018.65,1.3,No,
2024-04-22 13:00:00,234.244.119.104,226.187.152.70,UDP,1375.05,3.33,No,
2024-04-22 14:00:00,100.153.231.65,10.36.247.103,TCP,895.3,9.45,No,
2024-04-22 15:00:00,188.91.45.139,247.233.197.33,ICMP,1363.34,3.7,No,
2024-04-22 16:00:00,248.101.157.38,109.8.242.17,TCP,28.88,3.14,No,
2024-04-22 17:00:00,88.200.91.197,78.76.34.199,UDP,356.76,9.93,No,
2024-04-22 18:00:00,50.121.42.40,33.10.48.153,TCP,531.18,1.27,No,
2024-04-22 19:00:00,109.1.14.27,232.152.43.89,UDP,518.23,8.44,No,
2024-04-22 20:00:00,252.38.164.60,223.148.98.183,ICMP,809.47,9.84,No,
2024-04-22 21:00:00,9.4.112.150,171.234.163.123,TCP,953.61,8.12,No,
2024-04-22 22:00:00,22.136.34.108,155.248.197.53,ICMP,158.51,0.99,No,
2024-04-22 23:00:00,49.4.17.35,193.159.158.145,TCP,294.15,7.02,No,
2024-04-23 00:00:00,3.102.13.249,133.8.62.116,ICMP,1184.62,7.49,No,
2024-04-23 01:00:00,187.33.112.238,150.43.45.91,TCP,1284.37,7.39,No,
2024-04-23 02:00:00,171.190.37.137,156.28.203.147,TCP,231.39,1.31,No,
2024-04-23 03:00:00,163.13.110.189,112.25.195.19,UDP,1162.3,1.24,No,
2024-04-23 04:00:00,160.53.101.188,126.49.3.249,TCP,853.75,4.85,No,
2024-04-23 05:00:00,151.199.3.116,163.0.212.4,TCP,1429.66,2.85,Yes,DDoS
2024-04-23 06:00:00,90.46.30.132,144.185.169.133,ICMP,649.63,4.87,No,
2024-04-23 07:00:00,15.9.190.141,74.244.195.178,UDP,398.27,8.24,No,
2024-04-23 08:00:00,17.221.32.170,90.148.162.106,UDP,214.74,7.88,No,
2024-04-23 09:00:00,183.115.253.103,141.214.4.62,TCP,792.84,3.35,No,
2024-04-23 10:00:00,75.42.38.45,36.6.164.222,UDP,1425.18,3.35,No,
2024-04-23 11:00:00,213.247.182.115,200.226.46.78,ICMP,574.55,2.78,No,
2024-04-23 12:00:00,76.65.201.231,164.165.253.71,ICMP,963.99,6.04,No,
2024-04-23 13:00:00,112.132.0.96,209.192.225.127,UDP,680.56,1.26,No,
2024-04-23 14:00:00,33.96.91.151,54.6.115.101,TCP,1447.23,6.81,No,
2024-04-23 15:00:00,96.222.185.27,203.88.95.85,UDP,1305.14,9.26,No,
2024-04-23 16:00:00,144.11.21.232,100.21.85.250,TCP,438.37,6.08,No,
2024-04-23 17:00:00,112.25.110.215,186.63.127.30,ICMP,199.94,4.87,No,
2024-04-23 18:00:00,172.213.94.236,48.84.60.153,ICMP,719.79,8.65,No,
2024-04-23 19:00:00,178.201.166.126,177.157.163.132,TCP,874.19,4.68,No,
2024-04-23 20:00:00,61.246.78.177,170.248.182.149,UDP,295.76,0.98,No,
2024-04-23 21:00:00,230.97.22.24,160.215.16.112,UDP,1256.11,2.79,No,
2024-04-23 22:00:00,96.53.213.82,218.185.164.115,ICMP,411.07,5.55,No,
2024-04-23 23:00:00,110.69.20.122,141.67.96.77,UDP,1223.76,2.79,No,
2024-04-24 00:00:00,130.115.46.172,104.162.231.25,TCP,1071.25,3.63,No,
2024-04-24 01:00:00,38.2.243.197,179.157.121.241,ICMP,32.45,0.2,No,
2024-04-24 02:00:00,236.176.32.201,65.248.138.152,ICMP,250.79,7.08,No,
2024-04-24 03:00:00,185.152.150.250,20.64.72.81,TCP,1401.72,0.11,No,
2024-04-24 04:00:00,202.58.26.31,193.171.173.153,TCP,1461.9,1.83,No,
2024-04-24 05:00:00,237.47.227.33,63.218.188.84,UDP,1231.53,3.25,Yes,Phishing
2024-04-24 06:00:00,173.93.58.254,112.223.107.139,ICMP,1499.27,1.56,No,
2024-04-24 07:00:00,172.184.49.74,217.138.189.234,UDP,332.47,0.52,No,
2024-04-24 08:00:00,225.130.219.199,97.194.144.251,TCP,1450.15,2.23,No,
2024-04-24 09:00:00,29.99.86.224,167.66.237.107,UDP,767.82,6.89,No,
2024-04-24 10:00:00,162.204.18.57,10.146.227.175,UDP,130.04,0.32,No,
2024-04-24 11:00:00,187.197.184.76,22.221.229.84,UDP,1089.9,4.14,No,
2024-04-24 12:00:00,251.55.238.2,219.227.229.84,ICMP,756.94,4.11,No,
2024-04-24 13:00:00,181.153.189.141,21.16.122.201,TCP,1048.97,3.67,No,
2024-04-24 14:00:00,199.60.18.70,187.24.186.211,ICMP,1255.75,7.93,No,
2024-04-24 15:00:00,254.81.121.192,71.10.31.235,TCP,281.47,6.38,No,
2024-04-24 16:00:00,146.252.35.152,61.86.8.63,UDP,1385.38,4.34,No,
2024-04-24 17:00:00,83.18.151.115,182.37.34.164,UDP,652.14,1.63,Yes,Phishing
2024-04-24 18:00:00,35.246.73.195,109.4.97.84,UDP,970.48,3.09,No,
2024-04-24 19:00:00,164.10.117.23,67.24.164.128,TCP,634.43,6.09,No,
2024-04-24 20:00:00,115.47.17.73,76.104.92.45,UDP,879.15,6.3,No,
2024-04-24 21:00:00,217.217.139.173,16.57.74.154,UDP,420.52,4.77,No,
2024-04-24 22:00:00,208.163.232.104,16.162.76.94,ICMP,394.11,8.21,No,
2024-04-24 23:00:00,72.183.210.3,227.146.143.42,UDP,1067.13,4.74,No,
2024-04-25 00:00:00,132.2.199.219,104.32.246.182,ICMP,1365.09,9.46,No,
2024-04-25 01:00:00,172.200.71.27,62.247.9.110,UDP,100.41,0.15,No,
2024-04-25 02:00:00,83.125.15.194,10.64.146.19,UDP,202.55,2.21,No,
2024-04-25 03:00:00,202.168.206.71,150.246.100.20,UDP,1193.02,4.41,No,
2024-04-25 04:00:00,78.223.213.167,227.161.168.173,UDP,211.02,6.22,No,
2024-04-25 05:00:00,232.131.30.138,136.73.103.221,UDP,1336.47,7.4,No,
2024-04-25 06:00:00,33.167.80.32,91.136.93.157,UDP,553.43,4.15,No,
2024-04-25 07:00:00,100.252.198.251,227.64.71.11,UDP,114.29,3.28,No,
2024-04-25 08:00:00,245.11.24.44,141.20.15.152,TCP,484.82,4.92,No,
2024-04-25 09:00:00,244.230.255.219,140.255.55.84,UDP,1278.6,9.53,No,
2024-04-25 10:00:00,152.245.6.6,73.96.96.113,UDP,786.73,4.81,No,
2024-04-25 11:00:00,134.179.29.174,102.46.229.92,ICMP,430.51,1.48,No,
2024-04-25 12:00:00,4.57.50.126,234.150.74.38,ICMP,101.65,3.76,No,
2024-04-25 13:00:00,91.248.14.47,241.167.131.223,UDP,337.87,8.16,No,
2024-04-25 14:00:00,98.180.175.61,233.255.227.47,UDP,771.42,5.19,No,
2024-04-25 15:00:00,190.223.235.212,137.167.105.62,ICMP,1428.68,7.18,No,
2024-04-25 16:00:00,236.120.70.48,144.6.122.200,ICMP,787.23,5.81,No,
2024-04-25 17:00:00,169.154.237.115,12.114.49.120,UDP,520.21,8.37,No,
2024-04-25 18:00:00,65.192.6.17,133.27.123.170,UDP,177.42,4.06,No,
2024-04-25 19:00:00,235.66.215.139,8.80.172.207,ICMP,22.07,5.19,No,
2024-04-25 20:00:00,86.209.240.79,244.83.174.139,TCP,549.7,7.91,No,
2024-04-25 21:00:00,188.10.245.55,100.65.138.154,TCP,989.09,3.72,No,
2024-04-25 22:00:00,23.18.240.238,2.131.80.131,TCP,155.44,5.48,No,
2024-04-25 23:00:00,76.114.133.234,116.254.83.141,TCP,564.59,7.72,No,
2024-04-26 00:00:00,129.109.88.76,145.170.59.231,TCP,864.91,7.68,No,
2024-04-26 01:00:00,136.139.34.225,252.51.81.233,TCP,411.38,8.42,No,
2024-04-26 02:00:00,65.13.163.206,246.160.223.87,UDP,489.48,3.98,No,
2024-04-26 03:00:00,133.12.163.31,208.131.160.184,ICMP,1269.38,2.06,No,
2024-04-26 04:00:00,97.105.185.210,206.47.133.140,TCP,989.0,4.98,No,
2024-04-26 05:00:00,81.205.236.129,230.136.172.96,TCP,582.53,3.59,No,
2024-04-26 06:00:00,7.141.189.44,165.90.93.131,UDP,1357.88,1.17,No,
2024-04-26 07:00:00,90.116.80.187,179.52.175.54,UDP,51.63,7.95,No,
2024-04-26 08:00:00,33.154.95.221,152.35.218.238,UDP,686.72,3.0,No,
2024-04-26 09:00:00,79.220.172.187,10.44.62.225,TCP,399.78,8.91,No,
2024-04-26 10:00:00,234.81.30.215,252.185.81.114,UDP,154.61,9.93,No,
2024-04-26 11:00:00,9.137.65.231,50.68.99.18,ICMP,90.98,9.57,No,
2024-04-26 12:00:00,124.59.38.242,24.55.0.93,ICMP,1422.33,9.54,No,
2024-04-26 13:00:00,210.159.32.249,56.173.109.84,ICMP,622.0,5.46,No,
2024-04-26 14:00:00,27.111.153.1,121.221.111.244,TCP,114.39,9.47,No,
2024-04-26 15:00:00,108.201.126.136,10.47.4.121,ICMP,574.5,4.18,No,
2024-04-26 16:00:00,145.153.208.103,97.150.153.77,UDP,1411.01,8.44,No,
2024-04-26 17:00:00,246.132.174.19,196.123.243.158,TCP,1176.8,9.62,No,
2024-04-26 18:00:00,194.21.213.69,124.137.55.72,UDP,1040.65,6.6,No,
2024-04-26 19:00:00,38.10.66.129,70.183.187.196,UDP,1427.21,8.84,No,
2024-04-26 20:00:00,134.167.234.219,48.78.39.93,ICMP,350.83,7.42,No,
2024-04-26 21:00:00,136.63.244.216,188.139.152.4,TCP,1386.0,8.05,No,
2024-04-26 22:00:00,56.121.34.162,35.249.189.118,TCP,784.56,7.74,No,
2024-04-26 23:00:00,112.133.42.7,176.250.139.248,TCP,540.76,5.86,No,
2024-04-27 00:00:00,21.76.100.254,41.15.75.220,UDP,67.48,7.78,No,
2024-04-27 01:00:00,251.231.137.180,215.63.37.200,UDP,259.04,5.56,No,
2024-04-27 02:00:00,40.30.106.5,12.221.227.20,ICMP,1258.16,6.98,No,
2024-04-27 03:00:00,245.137.78.240,191.217.254.16,UDP,73.14,9.36,No,
2024-04-27 04:00:00,8.36.9.83,178.136.167.103,UDP,824.29,5.7,Yes,Port Scan
2024-04-27 05:00:00,100.102.84.105,111.248.141.242,UDP,808.9,5.46,No,
2024-04-27 06:00:00,54.5.115.26,238.115.242.246,ICMP,1034.91,1.0,No,
2024-04-27 07:00:00,112.252.23.14,22.239.65.154,ICMP,448.91,9.6,No,
2024-04-27 08:00:00,106.103.9.177,84.30.167.154,ICMP,686.56,6.08,No,
2024-04-27 09:00:00,92.37.112.217,207.57.220.55,UDP,765.5,8.01,No,
2024-04-27 10:00:00,92.232.161.68,7.54.189.80,TCP,1340.58,9.96,No,
2024-04-27 11:00:00,42.126.213.11,181.47.190.23,ICMP,36.76,7.24,No,
2024-04-27 12:00:00,78.4.154.71,237.88.229.78,TCP,577.94,8.27,No,
2024-04-27 13:00:00,143.100.57.100,104.188.138.90,UDP,1134.51,3.37,No,
2024-04-27 14:00:00,162.123.78.246,90.132.33.105,TCP,701.08,5.57,No,
2024-04-27 15:00:00,150.236.18.191,113.160.24.225,ICMP,61.42,1.39,No,
2024-04-27 16:00:00,181.202.179.145,41.215.70.254,UDP,1206.42,4.61,No,
2024-04-27 17:00:00,94.106.92.6,78.203.52.84,TCP,1249.8,5.93,No,
2024-04-27 18:00:00,3.98.123.221,193.127.38.98,ICMP,1085.94,8.18,No,
2024-04-27 19:00:00,253.34.173.27,42.4.148.74,TCP,624.31,8.18,No,
2024-04-27 20:00:00,137.193.131.103,6.222.30.56,UDP,879.39,6.1,No,
2024-04-27 21:00:00,193.65.7.127,29.204.136.180,UDP,1272.47,9.2,No,
2024-04-27 22:00:00,191.81.229.9,67.49.202.172,UDP,179.06,6.18,No,
2024-04-27 23:00:00,64.97.62.123,105.85.237.169,ICMP,382.47,4.09,No,
2024-04-28 00:00:00,251.8.122.249,116.55.6.123,ICMP,1345.57,2.35,No,
2024-04-28 01:00:00,159.57.76.178,94.19.247.218,UDP,289.71,1.84,No,
2024-04-28 02:00:00,162.59.26.45,192.39.176.164,UDP,1445.96,6.8,No,
2024-04-28 03:00:00,243.57.2.218,120.202.240.11,ICMP,220.9,4.86,No,
2024-04-28 04:00:00,57.214.140.148,208.163.110.254,TCP,305.68,9.01,No,
2024-04-28 05:00:00,99.13.231.37,156.26.113.153,ICMP,1222.4,3.36,No,
2024-04-28 06:00:00,85.99.68.191,183.56.83.178,TCP,791.1,3.19,Yes,Phishing
2024-04-28 07:00:00,158.158.208.3,182.182.174.185,ICMP,969.79,2.29,No,
2024-04-28 08:00:00,253.107.111.211,68.38.55.34,TCP,1124.39,3.89,No,
2024-04-28 09:00:00,76.222.48.43,154.211.105.37,UDP,1343.77,7.03,No,
2024-04-28 10:00:00,49.98.16.95,49.228.75.166,ICMP,411.97,8.17,No,
2024-04-28 11:00:00,150.239.200.101,41.250.43.109,UDP,762.31,4.26,No,
2024-04-28 12:00:00,16.219.149.188,231.67.101.74,ICMP,908.48,8.23,No,
2024-04-28 13:00:00,182.193.178.226,148.6.161.49,ICMP,108.27,5.63,Yes,DDoS
2024-04-28 14:00:00,81.7.186.149,178.210.69.250,ICMP,1048.38,7.23,No,
2024-04-28 15:00:00,165.0.217.178,243.96.96.4,UDP,644.36,1.33,No,
2024-04-28 16:00:00,126.171.214.143,230.137.139.108,UDP,313.06,6.68,No,
2024-04-28 17:00:00,125.146.86.40,146.83.26.128,UDP,823.79,4.77,No,
2024-04-28 18:00:00,75.114.204.195,253.28.166.202,ICMP,146.56,7.81,No,
2024-04-28 19:00:00,44.26.115.203,98.40.27.61,UDP,711.96,5.98,No,
2024-04-28 20:00:00,58.69.137.235,125.224.205.168,ICMP,1414.39,4.46,No,
2024-04-28 21:00:00,84.228.13.60,93.73.71.236,ICMP,1351.46,7.15,No,
2024-04-28 22:00:00,77.121.30.194,107.249.240.112,ICMP,843.84,1.03,No,
2024-04-28 23:00:00,35.163.55.185,131.67.104.229,ICMP,511.99,0.89,No,
2024-04-29 00:00:00,130.203.91.202,119.147.220.254,UDP,63.6,9.97,No,
2024-04-29 01:00:00,162.133.6.115,136.220.126.65,TCP,525.12,3.7,No,
2024-04-29 02:00:00,227.93.198.154,46.102.153.75,UDP,871.79,8.45,No,
2024-04-29 03:00:00,20.168.255.7,80.36.131.35,ICMP,297.53,3.08,No,
2024-04-29 04:00:00,4.242.70.207,210.238.48.240,TCP,461.06,9.52,No,
2024-04-29 05:00:00,55.201.115.111,59.209.19.190,TCP,985.08,9.79,No,
2024-04-29 06:00:00,49.27.54.35,53.148.189.56,ICMP,1303.31,7.18,No,
2024-04-29 07:00:00,51.93.103.194,206.21.61.224,UDP,959.28,4.84,No,
2024-04-29 08:00:00,154.225.86.183,90.241.112.110,UDP,1411.08,5.17,No,
2024-04-29 09:00:00,204.220.86.4,77.67.74.65,ICMP,56.64,0.28,No,
2024-04-29 10:00:00,220.227.156.131,168.141.121.93,UDP,535.56,2.84,No,
2024-04-29 11:00:00,109.136.219.178,94.250.182.178,ICMP,1169.2,2.53,No,
2024-04-29 12:00:00,129.120.10.6,105.14.148.180,UDP,105.11,7.72,Yes,Malware
2024-04-29 13:00:00,227.122.135.62,163.25.176.24,TCP,319.76,7.22,No,
2024-04-29 14:00:00,26.10.179.3,29.3.150.236,UDP,1377.99,4.21,No,
2024-04-29 15:00:00,154.210.78.178,40.193.2.159,UDP,1381.05,9.02,No,
2024-04-29 16:00:00,126.186.163.93,166.33.86.163,ICMP,603.56,9.69,No,
2024-04-29 17:00:00,6.101.108.221,168.91.27.110,ICMP,444.46,7.02,No,
2024-04-29 18:00:00,182.143.233.120,59.158.28.143,ICMP,1416.79,7.16,No,
2024-04-29 19:00:00,207.201.70.127,98.97.149.71,TCP,1125.8,3.7,No,
2024-04-29 20:00:00,58.16.146.130,105.194.117.253,UDP,957.41,2.85,No,
2024-04-29 21:00:00,122.139.252.158,137.151.191.65,ICMP,1245.73,9.31,No,
2024-04-29 22:00:00,74.86.222.20,243.243.147.83,UDP,596.4,3.28,Yes,Phishing
2024-04-29 23:00:00,2.158.179.54,174.206.189.44,ICMP,121.38,7.13,No,
2024-04-30 00:00:00,117.26.223.131,40.241.80.155,UDP,1200.29,4.93,No,
2024-04-30 01:00:00,227.8.237.78,216.177.173.179,ICMP,438.61,7.27,No,
2024-04-30 02:00:00,209.139.224.226,255.31.189.18,UDP,537.88,9.09,No,
2024-04-30 03:00:00,254.53.131.133,194.248.231.241,TCP,600.52,8.41,No,
2024-04-30 04:00:00,17.206.178.129,53.69.8.180,UDP,1350.17,0.62,No,
2024-04-30 05:00:00,231.214.87.219,92.192.38.236,TCP,1421.81,7.53,No,
2024-04-30 06:00:00,47.82.221.67,90.137.65.199,ICMP,1083.56,5.17,No,
2024-04-30 07:00:00,163.163.13.93,48.25.214.252,UDP,717.51,9.44,No,
2024-04-30 08:00:00,207.165.218.64,145.40.163.87,ICMP,593.27,2.58,No,
2024-04-30 09:00:00,154.115.228.148,209.105.107.93,ICMP,1478.95,5.91,No,
2024-04-30 10:00:00,61.28.146.174,165.252.67.217,UDP,521.66,8.39,No,
2024-04-30 11:00:00,224.160.192.124,245.127.89.11,TCP,716.64,1.24,No,
2024-04-30 12:00:00,156.27.215.134,250.193.60.62,UDP,62.89,1.93,No,
2024-04-30 13:00:00,50.146.207.187,219.172.139.226,ICMP,1456.7,9.69,No,
2024-04-30 14:00:00,82.71.244.121,169.1.5.153,ICMP,1030.85,9.85,No,
2024-04-30 15:00:00,73.84.211.175,203.145.138.36,UDP,599.89,9.75,No,
2024-04-30 16:00:00,129.137.150.130,246.188.206.28,TCP,950.14,1.79,No,
2024-04-30 17:00:00,206.118.144.149,139.133.21.40,UDP,323.95,7.72,Yes,DDoS
2024-04-30 18:00:00,132.86.249.134,47.30.185.127,UDP,1278.73,5.89,No,
2024-04-30 19:00:00,17.144.182.238,117.233.191.98,UDP,117.28,2.46,No,
2024-04-30 20:00:00,36.89.48.159,217.5.73.21,TCP,721.31,0.56,No,
2024-04-30 21:00:00,217.27.185.210,121.91.55.196,ICMP,490.68,6.61,No,
2024-04-30 22:00:00,166.153.250.193,103.128.62.130,ICMP,497.78,2.02,No,
2024-04-30 23:00:00,92.34.42.201,252.158.43.80,TCP,1217.71,7.89,No,
2024-05-01 00:00:00,21.107.206.51,95.133.190.144,ICMP,231.77,4.83,No,
2024-05-01 01:00:00,192.125.177.9,149.153.189.2,UDP,714.12,1.16,No,
2024-05-01 02:00:00,184.214.75.171,93.161.201.250,UDP,1109.99,8.43,No,
2024-05-01 03:00:00,64.60.208.112,54.91.98.205,ICMP,952.53,5.27,No,
2024-05-01 04:00:00,209.175.173.203,46.166.76.210,TCP,1231.36,0.36,No,
2024-05-01 05:00:00,144.173.16.165,33.247.36.149,TCP,138.67,1.29,No,
2024-05-01 06:00:00,179.69.187.199,19.118.219.35,UDP,580.36,7.65,No,
2024-05-01 07:00:00,169.105.172.7,49.189.218.167,ICMP,1470.82,5.17,No,
2024-05-01 08:00:00,21.138.179.249,69.78.68.204,ICMP,1250.8,7.15,No,
2024-05-01 09:00:00,180.144.127.138,136.204.190.130,UDP,294.57,4.51,No,
2024-05-01 10:00:00,146.112.252.110,244.250.57.121,TCP,1246.8,4.83,No,
2024-05-01 11:00:00,252.164.185.208,65.65.97.197,TCP,1402.03,1.23,No,
2024-05-01 12:00:00,122.19.82.248,144.169.212.227,TCP,160.53,3.75,No,
2024-05-01 13:00:00,213.154.48.174,68.251.251.235,TCP,995.13,9.91,No,
2024-05-01 14:00:00,206.8.22.222,169.125.235.214,UDP,1350.54,5.9,No,
2024-05-01 15:00:00,65.223.147.202,1.118.21.204,UDP,1401.5,4.15,No,
2024-05-01 16:00:00,59.56.112.122,248.235.2.97,ICMP,918.45,8.75,No,
2024-05-01 17:00:00,217.75.49.209,85.5.165.29,ICMP,1177.46,4.18,No,
2024-05-01 18:00:00,64.165.204.84,20.152.92.33,UDP,271.64,1.4,No,
2024-05-01 19:00:00,39.92.52.131,230.49.129.64,TCP,992.22,6.64,No,
2024-05-01 20:00:00,168.249.56.21,49.43.161.118,ICMP,900.01,9.69,No,
2024-05-01 21:00:00,183.233.17.55,74.15.141.175,ICMP,404.78,7.71,No,
2024-05-01 22:00:00,228.98.67.1,87.135.52.78,TCP,1353.76,4.68,No,
2024-05-01 23:00:00,8.90.168.50,106.242.69.127,ICMP,517.97,9.47,No,
2024-05-02 00:00:00,36.216.42.8,11.126.46.177,TCP,1196.71,7.76,No,
2024-05-02 01:00:00,178.73.244.14,214.54.40.60,ICMP,1094.06,7.79,No,
2024-05-02 02:00:00,221.167.30.43,173.118.188.163,ICMP,1163.25,3.87,No,
2024-05-02 03:00:00,52.171.44.149,95.34.123.243,UDP,1012.61,0.69,No,
2024-05-02 04:00:00,171.172.181.64,198.212.32.171,UDP,258.44,0.25,No,
2024-05-02 05:00:00,81.38.9.97,108.215.81.206,ICMP,767.16,5.02,No,
2024-05-02 06:00:00,114.145.14.136,245.126.95.136,TCP,1048.92,8.54,No,
2024-05-02 07:00:00,27.135.79.41,115.243.149.189,UDP,937.54,3.67,No,
2024-05-02 08:00:00,18.105.224.138,251.247.24.5,ICMP,354.68,4.54,No,
2024-05-02 09:00:00,243.25.252.103,9.83.89.225,ICMP,63.27,2.99,No,
2024-05-02 10:00:00,67.216.33.103,104.104.11.229,UDP,562.97,6.57,No,
2024-05-02 11:00:00,224.80.190.175,112.111.102.134,ICMP,299.18,5.73,No,
2024-05-02 12:00:00,94.205.228.28,241.227.80.21,UDP,142.8,2.27,Yes,Malware
2024-05-02 13:00:00,88.62.153.158,44.18.158.237,TCP,770.84,8.31,No,
2024-05-02 14:00:00,191.24.194.192,217.23.132.82,TCP,1149.84,1.52,No,
2024-05-02 15:00:00,42.79.148.149,77.140.255.254,TCP,115.71,6.22,No,
2024-05-02 16:00:00,227.143.187.24,189.4.15.71,TCP,1259.18,1.45,No,
2024-05-02 17:00:00,158.40.61.224,104.20.82.27,TCP,1273.68,6.1,No,
2024-05-02 18:00:00,41.64.85.57,1.114.176.105,UDP,631.09,7.39,No,
2024-05-02 19:00:00,89.209.147.251,136.44.4.141,UDP,235.71,9.83,No,
2024-05-02 20:00:00,171.227.69.236,187.165.197.103,UDP,876.7,8.99,No,
